cycle_id,ADG,start_date,end_date,start_weight,end_weight,duration_days
25890.0,0.18510638297872342,2021-03-21,2021-05-07,3.6,12.3,47
25895.0,0.3875,2021-04-29,2021-06-08,1.2,16.7,40
25896.0,0.2808510638297872,2021-03-21,2021-05-07,2.8,16.0,47
25897.0,0.24594594594594593,2021-03-21,2021-04-27,2.5,11.6,37
25898.0,0.1945945945945946,2021-03-21,2021-04-27,3.2,10.4,37
25901.0,0.18085106382978725,2021-03-21,2021-05-07,3.0,11.5,47
25920.0,0.1611904761904762,2023-10-18,2024-02-21,1.27,21.58,126
25945.0,0.7142857142857143,2023-10-26,2023-11-16,10.0,25.0,21
25967.0,0.15964788732394364,2023-10-02,2024-02-21,0.03,22.7,142
25968.0,0.2619642857142857,2023-10-18,2023-12-13,0.83,15.5,56
25976.0,,2023-11-17,2023-11-17,8.33,8.33,0
25977.0,,2023-11-08,2023-11-08,6.66,6.66,0
25999.0,0.2665714285714285,2023-10-31,2023-12-05,2.7,12.03,35
26008.0,0.1760714285714286,2023-09-26,2023-10-24,6.47,11.4,28
26048.0,0.2785714285714286,2023-11-01,2023-11-29,1.8,9.6,28
26049.0,0.2523809523809524,2023-11-01,2023-11-22,1.2,6.5,21
26050.0,,2023-11-16,2023-11-16,8.3,8.3,0
26051.0,0.27319999999999994,2023-11-03,2023-11-28,4.53,11.36,25
26052.0,0.22,2023-11-13,2023-11-20,5.26,6.8,7
26053.0,,2023-12-12,2023-12-12,8.3,8.3,0
26056.0,0.3140816326530612,2023-11-05,2024-02-11,1.6,32.38,98
26057.0,0.2646938775510204,2023-11-05,2024-02-11,2.2,28.14,98
26058.0,0.2560204081632653,2023-11-05,2024-02-11,2.31,27.4,98
26059.0,0.3146938775510204,2023-11-05,2024-02-11,2.31,33.15,98
26060.0,0.255,2023-11-05,2024-02-11,1.78,26.77,98
26061.0,0.26581632653061227,2023-11-05,2024-02-11,1.82,27.87,98
26062.0,0.271734693877551,2023-11-05,2024-02-11,1.82,28.45,98
26093.0,0.47560975609756095,2023-11-15,2023-12-26,7.4,26.9,41
26110.0,0.05666666666666664,2023-11-14,2023-11-29,6.75,7.6,15
26153.0,,2023-11-11,2023-11-11,5.89,5.89,0
26165.0,0.1757142857142857,2023-11-03,2023-11-24,1.81,5.5,21
26166.0,0.21285714285714283,2023-11-03,2023-11-10,2.57,4.06,7
26175.0,,2023-11-17,2023-11-17,5.85,5.85,0
26176.0,0.2689473684210526,2023-11-04,2023-11-23,3.22,8.33,19
26177.0,0.2558333333333333,2023-11-04,2023-11-16,3.18,6.25,12
26178.0,0.03622222222222224,2023-11-21,2024-01-05,10.0,11.63,45
26180.0,0.21321428571428572,2023-11-04,2023-12-02,4.03,10.0,28
26215.0,1.0714285714285714,2023-11-27,2023-12-04,12.5,20.0,7
26216.0,0.37846153846153846,2023-11-24,2023-12-07,10.0,14.92,13
26218.0,0.17333333333333334,2023-12-11,2023-12-26,1.6,4.2,15
26219.0,0.152,2023-12-11,2023-12-26,1.52,3.8,15
26220.0,0.17466666666666666,2023-12-11,2023-12-26,1.58,4.2,15
26221.0,0.1753333333333333,2023-12-11,2023-12-26,1.57,4.2,15
26238.0,0.24523809523809526,2023-10-31,2023-12-12,1.96,12.26,42
26239.0,0.2873076923076923,2023-10-31,2023-12-22,1.86,16.8,52
26240.0,0.26499999999999996,2023-10-31,2023-12-12,1.87,13.0,42
26241.0,0.3511538461538462,2023-10-31,2023-12-22,2.29,20.55,52
26242.0,0.30000000000000004,2023-10-31,2023-12-22,2.11,17.71,52
26243.0,0.26357142857142857,2023-10-31,2023-12-12,3.15,14.22,42
26244.0,0.30547619047619046,2023-10-31,2023-12-12,2.73,15.56,42
26245.0,0.2907142857142857,2023-10-31,2023-12-12,2.97,15.18,42
26246.0,0.31711538461538463,2023-10-31,2023-12-22,2.42,18.91,52
26247.0,0.2619047619047619,2023-10-31,2023-12-12,3.16,14.16,42
26248.0,0.314047619047619,2023-10-31,2023-12-12,3.24,16.43,42
26249.0,0.254047619047619,2023-10-31,2023-12-12,3.42,14.09,42
26250.0,0.31,2023-10-31,2023-12-22,3.79,19.91,52
26251.0,0.31749999999999995,2023-10-31,2023-12-22,3.76,20.27,52
26252.0,0.29423076923076924,2023-10-31,2023-12-22,4.45,19.75,52
26253.0,0.33238095238095233,2023-10-31,2023-12-12,5.33,19.29,42
26254.0,0.2742857142857143,2023-10-31,2023-11-07,4.79,6.71,7
26255.0,0.2657142857142856,2023-10-31,2023-11-07,4.73,6.59,7
26256.0,0.3102380952380952,2023-10-31,2023-12-12,4.26,17.29,42
26257.0,0.22535714285714284,2023-10-31,2023-11-28,3.8,10.11,28
26258.0,0.28384615384615386,2023-10-31,2023-12-22,2.03,16.79,52
26422.0,,2023-04-28,2023-04-28,9.8,9.8,0
26436.0,,2023-04-28,2023-04-28,9.25,9.25,0
26438.0,,2023-04-28,2023-04-28,10.98,10.98,0
26440.0,,2023-04-24,2023-04-24,9.52,9.52,0
26445.0,0.2553225806451613,2024-01-25,2024-03-27,3.0,18.83,62
26446.0,0.24516129032258063,2024-01-25,2024-03-27,1.8,17.0,62
26447.0,0.26854838709677414,2024-01-25,2024-03-27,3.0,19.65,62
26448.0,0.21629032258064515,2024-01-25,2024-03-27,2.2,15.61,62
26449.0,0.23709677419354838,2024-01-25,2024-03-27,3.2,17.9,62
26450.0,0.20419354838709677,2024-01-25,2024-03-27,2.6,15.26,62
26475.0,0.24461538461538465,2023-11-15,2024-01-19,2.2,18.1,65
26476.0,0.21384615384615385,2023-11-15,2024-01-19,2.1,16.0,65
26477.0,0.24184615384615388,2023-11-15,2024-01-19,1.7,17.42,65
26479.0,0.22384615384615383,2023-11-15,2024-01-19,2.1,16.65,65
26480.0,0.21892307692307694,2023-11-15,2024-01-19,2.2,16.43,65
26481.0,0.24738461538461537,2023-11-15,2024-01-19,2.3,18.38,65
26482.0,0.19953846153846155,2023-11-15,2024-01-19,2.6,15.57,65
26483.0,0.22969230769230767,2023-11-15,2024-01-19,1.9,16.83,65
26491.0,0.2337096774193548,2024-01-25,2024-03-27,2.3,16.79,62
26509.0,,2023-11-09,2023-11-09,3.03,3.03,0
26510.0,0.20434782608695654,2023-11-15,2023-12-31,1.0,10.4,46
26511.0,0.2506521739130435,2023-11-15,2023-12-31,1.1,12.63,46
